dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.818229,5.370227,8.639956,2.418973,0.732059,-25.388611,0.827246
0.020000,4.863967,5.419400,8.707112,3.357815,46.942135,2310.503836,0.815874
0.020000,4.910222,5.467997,8.774202,3.354506,-0.165473,-2355.380409,0.804235
0.020000,4.956998,5.515996,8.841224,3.351074,-0.171617,-0.307240,0.792322
0.020000,5.004299,5.563378,8.908176,3.347580,-0.174658,-0.152005,0.780130
0.020000,5.052131,5.610123,8.975056,3.344023,-0.177853,-0.159783,0.767654
0.020000,5.100496,5.656212,9.041864,3.340400,-0.181155,-0.165098,0.754888
0.020000,5.149398,5.701621,9.108598,3.336710,-0.184508,-0.167639,0.741827
0.020000,5.198840,5.746331,9.175258,3.332984,-0.186284,-0.088815,0.728468
0.020000,5.248825,5.790319,9.241842,3.329197,-0.189348,-0.153181,0.714805
0.020000,5.299355,5.833561,9.308349,3.325341,-0.192826,-0.173898,0.700836
0.020000,5.350431,5.876037,9.374778,3.321486,-0.192762,0.003210,0.686556
0.020000,5.402053,5.917721,9.441130,3.317570,-0.195787,-0.151264,0.671964
0.020000,5.454223,5.958591,9.507402,3.313629,-0.197056,-0.063460,0.657057
0.020000,5.506940,5.998623,9.573596,3.309682,-0.197317,-0.013042,0.641835
0.020000,5.560203,6.037793,9.639711,3.305736,-0.197301,0.000816,0.626297
0.020000,5.614009,6.076076,9.705747,3.301798,-0.196921,0.018995,0.610443
0.020000,5.668357,6.113448,9.771704,3.297876,-0.196088,0.041616,0.594276
0.020000,5.723243,6.149885,9.837584,3.293982,-0.194714,0.068728,0.577797
0.020000,5.778663,6.185363,9.903386,3.290128,-0.192708,0.100301,0.561011
0.020000,5.834611,6.219857,9.969113,3.286354,-0.188677,0.201534,0.543922
0.020000,5.891081,6.253344,10.034766,3.282648,-0.185290,0.169359,0.526538
0.020000,5.948068,6.285800,10.100347,3.279039,-0.180489,0.240063,0.508864
0.020000,6.005561,6.317203,10.165858,3.275533,-0.175266,0.261132,0.490911
0.020000,6.063554,6.347529,10.231301,3.272180,-0.167649,0.380850,0.472689
0.020000,6.122036,6.376757,10.296681,3.268953,-0.161356,0.314636,0.454209
0.020000,6.180997,6.404866,10.361998,3.265897,-0.152835,0.426093,0.435484
0.020000,6.240424,6.431835,10.427259,3.263026,-0.143515,0.465955,0.416531
0.020000,6.300305,6.457646,10.492466,3.260359,-0.133386,0.506460,0.397363
0.020000,6.360628,6.482279,10.557624,3.257910,-0.122450,0.546830,0.378000
0.020000,6.421376,6.505719,10.622738,3.255695,-0.110725,0.586241,0.358460
0.020000,6.482535,6.527948,10.687812,3.253663,-0.101580,0.457226,0.338763
0.020000,6.543911,6.548895,10.752663,3.242593,-0.553546,-22.598286,0.318987
0.020000,6.605133,6.568448,10.816932,3.213411,-1.459100,-45.277719,0.299269
0.020000,6.665998,6.586577,10.880439,3.175375,-1.901784,-22.134196,0.279690
0.020000,6.726477,6.603314,10.943192,3.137647,-1.886380,0.770209,0.260274
0.020000,6.786544,6.618694,11.005196,3.100218,-1.871440,0.747021,0.241046
0.020000,6.846170,6.632752,11.066458,3.063064,-1.857710,0.686465,0.222027
0.020000,6.905331,6.645524,11.126981,3.026175,-1.844473,0.661890,0.203238
0.020000,6.964000,6.657049,11.186772,2.989528,-1.832352,0.606037,0.184700
0.020000,7.022154,6.667365,11.245834,2.953105,-1.821122,0.561486,0.166429
0.020000,7.079771,6.676511,11.304172,2.916888,-1.810883,0.511940,0.148443
0.020000,7.136827,6.684528,11.361789,2.880851,-1.801847,0.451804,0.130755
0.020000,7.193304,6.691456,11.418688,2.844979,-1.793574,0.413685,0.113379
0.020000,7.249180,6.697335,11.474873,2.809246,-1.786680,0.344657,0.096326
0.020000,7.304438,6.702208,11.530346,2.773638,-1.780394,0.314332,0.079607
0.020000,7.359061,6.706115,11.585108,2.738131,-1.775315,0.253925,0.063228
0.020000,7.413033,6.709098,11.639163,2.702712,-1.770995,0.216019,0.047197
0.020000,7.466339,6.711196,11.692510,2.667342,-1.768496,0.124920,0.031519
0.020000,7.518965,6.712451,11.745150,2.632039,-1.765147,0.167461,0.016198
0.020000,7.570898,6.712903,11.797086,2.596760,-1.763923,0.061226,0.001237
0.020000,7.622127,6.712592,11.848315,2.561495,-1.763264,0.032953,6.269821
0.020000,7.672641,6.711557,11.898840,2.526237,-1.762920,0.017174,6.255581
0.020000,7.722431,6.709835,11.948660,2.490982,-1.762704,0.010828,6.241702
0.020000,7.771487,6.707466,11.997773,2.455678,-1.765204,-0.125026,6.228181
0.020000,7.819803,6.704486,12.046181,2.420370,-1.765435,-0.011568,6.215017
0.020000,7.867370,6.700932,12.093881,2.385016,-1.767695,-0.112951,6.202207
0.020000,7.914184,6.696838,12.140873,2.349618,-1.769880,-0.109261,6.189745
0.020000,7.960238,6.692240,12.187157,2.314155,-1.773153,-0.163658,6.177629
0.020000,8.005529,6.687171,12.232729,2.278647,-1.775413,-0.113018,6.165854
