dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.908301,2.243774,4.551143,3.149456,-1.619502,-10.050722,0.297272
0.020000,3.967530,2.262909,4.613387,3.112153,-1.865173,-12.283563,0.328288
0.020000,4.025300,2.283680,4.674777,3.069528,-2.131248,-13.303715,0.362708
0.020000,4.081376,2.306172,4.735195,3.020915,-2.430636,-14.969439,0.401022
0.020000,4.135481,2.330460,4.794502,2.965339,-2.778819,-17.409140,0.443773
0.020000,4.187312,2.356601,4.852552,2.902513,-3.141318,-18.124929,0.491550
0.020000,4.236535,2.384630,4.909196,2.832190,-3.516135,-18.740831,0.544947
0.020000,4.282804,2.414552,4.964297,2.755033,-3.857864,-17.086488,0.604509
0.020000,4.325783,2.446342,5.017756,2.672938,-4.104733,-12.343430,0.670633
0.020000,4.365184,2.479954,5.069546,2.589521,-4.170870,-3.306857,0.743428
0.020000,4.400796,2.515346,5.119754,2.510382,-3.956938,10.696616,0.822540
0.020000,4.432524,2.552515,5.168622,2.443420,-3.348097,30.442030,0.907009
0.020000,4.460379,2.591531,5.216561,2.396949,-2.323542,51.227767,0.995190
0.020000,4.484457,2.632550,5.264126,2.378236,-0.935646,69.394805,1.084865
0.020000,4.504882,2.675787,5.311944,2.390905,0.633440,78.454261,1.173529
0.020000,4.521758,2.721437,5.360614,2.433500,2.129758,74.815945,1.258790
0.020000,4.535160,2.769611,5.410617,2.500162,3.333093,60.166706,1.338722
0.020000,4.545148,2.820289,5.462270,2.582620,4.122911,39.490932,1.412066
0.020000,4.551805,2.873324,5.515721,2.672574,4.497672,18.738017,1.478222
0.020000,4.555249,2.928482,5.570986,2.763254,4.534033,1.818087,1.537127
0.020000,4.555649,2.985484,5.627990,2.850199,4.347252,-9.339051,1.589086
0.020000,4.553207,3.044049,5.686606,2.930780,4.029035,-15.910881,1.634603
0.020000,4.548156,3.103916,5.746685,3.003974,3.659699,-18.466762,1.674270
0.020000,4.540736,3.164858,5.808078,3.069621,3.282342,-18.867874,1.708687
0.020000,4.531191,3.226691,5.870643,3.128257,2.931793,-17.527440,1.738418
0.020000,4.519755,3.289266,5.934254,3.180560,2.615193,-15.830012,1.763967
0.020000,4.506653,3.352469,5.998801,3.227350,2.339486,-13.785363,1.785774
0.020000,4.492098,3.416217,6.064190,3.269449,2.104945,-11.727034,1.804214
0.020000,4.476285,3.480452,6.130342,3.307631,1.909088,-9.792869,1.819601
0.020000,4.459400,3.545137,6.197195,3.342603,1.748623,-8.023252,1.832192
0.020000,4.441617,3.610252,6.264694,3.374982,1.618958,-6.483246,1.842192
0.020000,4.423097,3.675792,6.332801,3.405341,1.517926,-5.051573,1.849765
0.020000,4.403998,3.741767,6.401485,3.434192,1.442565,-3.768042,1.855030
0.020000,4.384468,3.808196,6.470725,3.462004,1.390603,-2.598094,1.858069
0.020000,4.364655,3.875109,6.540509,3.489222,1.360891,-1.485630,1.858932
0.020000,4.344702,3.942544,6.610835,3.516276,1.352676,-0.410763,1.857630
0.020000,4.324758,4.010552,6.681706,3.543576,1.365027,0.617581,1.854144
0.020000,4.304971,4.079188,6.753138,3.571554,1.398865,1.691902,1.848420
0.020000,4.285500,4.148519,6.825151,3.600664,1.455526,2.833021,1.840366
0.020000,4.266512,4.218620,6.897778,3.631375,1.535562,4.001836,1.829855
0.020000,4.248189,4.289577,6.971063,3.664211,1.641781,5.310951,1.816716
0.020000,4.230732,4.361483,7.045058,3.699768,1.777839,6.802860,1.800733
0.020000,4.214368,4.434444,7.119831,3.738642,1.943718,8.293977,1.781637
0.020000,4.199353,4.508570,7.195463,3.781594,2.147588,10.193491,1.759103
0.020000,4.185986,4.583982,7.272050,3.829368,2.388696,12.055416,1.732745
